Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
11,Svetlana Kuznetsova [RUS],49,1.07,7474,0.51500,14,2-Dec,0.85700,0.12200,115,72-43,0.62600,854,469-385,0.54900,1:43,43.9,40.6,0.48800,217,445,1.04,3.9,9.1,1.89,4.4,0.53800,203,377,0.88,3.3,7.7,1.51,3.6,0.45300,0.44300,0.02900,0.04000,0.38800,0.56800,0.50700,8.8,4,37,61.4,32-17,0.65300,0.57900,0.59100,141,0.03800,174,0.04700,0.14200,0.67000,0.63200,0.47100,0.54800,0.59200,8.7,3.7
12,Coco Vandeweghe [USA],47,1.12,6325,0.52000,13,2-Nov,0.84600,0.12400,105,66-39,0.62900,711,392-319,0.55100,1:33,41.4,41.3,0.40600,146,360,1.02,3.4,7.7,1.39,3.1,0.58600,157,268,0.75,2.6,5.7,1.06,2.4,0.41900,0.40300,0.04000,0.05500,0.35600,0.52500,0.41200,9.3,3.9,40,49.1,30-17,0.63800,0.62700,0.64300,242,0.07900,207,0.06800,0.14900,0.54400,0.73400,0.50000,0.58700,0.68900,8.5,3.2
13,Sloane Stephens [USA],21,1.04,2966,0.50900,6,2-Apr,0.66700,0.12000,50,30-20,0.60000,266,142-124,0.53400,1:29,37.3,37.8,0.46500,74,159,1.2,3.2,7.6,1.48,3.5,0.61400,105,171,1.28,3.4,8.1,1.32,3.1,0.42700,0.40500,0.03200,0.05900,0.34800,0.55400,0.56100,11.2,4.8,33,28,15-6,0.71400,0.58900,0.59600,25,0.01700,35,0.02300,0.07100,0.67100,0.63800,0.48900,0.52600,0.50700,11.1,4.6
14,Anastasia Pavlyuchenkova [RUS],63,1.06,9267,0.51300,17,10-Jul,0.41200,0.11300,150,89-61,0.59300,1276,692-584,0.54200,1:40,41.9,40.7,0.46100,260,564,0.89,3.8,9,1.73,4.1,0.57500,281,489,0.76,3.3,7.8,1.39,3.3,0.44900,0.44000,0.03600,0.04400,0.38000,0.56600,0.40900,7.3,3.3,44,58.4,40-23,0.63500,0.57800,0.59800,192,0.04100,285,0.06200,0.16400,0.62500,0.65100,0.45600,0.54500,0.67500,7.2,3.1
15,Anastasija Sevastova [LAT],58,1.05,8016,0.51200,13,9-Apr,0.30800,0.09900,131,76-55,0.58000,1037,560-477,0.54000,1:29,39.5,38.7,0.50300,246,489,0.94,3.7,8.4,1.88,4.2,0.53500,236,441,0.85,3.4,7.6,1.56,3.5,0.45500,0.44100,0.03100,0.04900,0.39100,0.56300,0.47500,7.7,3.5,56,63.2,35-23,0.60300,0.56800,0.57500,118,0.02900,136,0.03400,0.08600,0.60800,0.63300,0.46800,0.51200,0.60500,7.8,3.3
16,Madison Keys [USA],27,1.11,3852,0.52000,6,2-Apr,0.66700,0.09400,64,40-24,0.62500,359,201-158,0.56000,1:31,38.4,38.2,0.44900,96,214,1.22,3.3,7.9,1.5,3.6,0.58100,108,186,1.02,2.9,6.9,1.22,2.9,0.43400,0.40700,0.01300,0.05500,0.37000,0.54700,0.54500,11.1,4.8,52,75.7,17-10,0.63000,0.60900,0.60900,122,0.06400,79,0.04200,0.11200,0.62800,0.68500,0.48000,0.54100,0.57400,10.4,4.1
17,Elena Vesnina [RUS],50,1.02,7374,0.50400,10,8-Feb,0.20000,0.08700,115,58-57,0.50400,907,469-438,0.51700,1:39,42.9,40.1,0.45600,194,425,0.94,3.7,8.5,1.69,3.9,0.58800,254,432,0.95,3.8,8.6,1.55,3.6,0.43700,0.42900,0.05300,0.05500,0.36300,0.56100,0.42700,8.1,3.5,56,85.8,26-24,0.52000,0.57100,0.59000,125,0.03400,205,0.05600,0.14800,0.62300,0.63400,0.46700,0.54700,0.60700,8.1,3.5
18,Julia Goerges [GER],67,1.1,9325,0.51800,11,5-Jun,0.54500,0.07100,154,96-58,0.62300,1298,701-597,0.54000,1:38,42.5,42.1,0.43900,228,519,0.8,3.4,7.7,1.48,3.4,0.58200,244,419,0.65,2.7,6.3,1.14,2.6,0.42200,0.40500,0.03100,0.04900,0.35200,0.54400,0.35100,7.2,3,59,86.5,44-23,0.65700,0.61600,0.61300,415,0.09000,235,0.05100,0.11600,0.56200,0.72600,0.47600,0.53900,0.73000,7.1,2.7
19,Angelique Kerber [GER],51,1.05,7321,0.50800,11,4-Jul,0.63600,0.09400,117,65-52,0.55600,950,495-455,0.52100,1:30,39.3,37.7,0.39900,177,444,0.93,3.8,8.7,1.51,3.5,0.55700,196,352,0.74,3,6.9,1.33,3.1,0.43100,0.42500,0.04500,0.04300,0.35600,0.55700,0.37200,7.9,3.4,44,73.5,29-22,0.56900,0.58800,0.61100,67,0.01900,176,0.04900,0.14600,0.66300,0.64200,0.48300,0.56500,0.67100,7.5,3.1
20,Ashleigh Barty [AUS],43,1.14,5851,0.52700,11,3-Aug,0.72700,0.10800,102,63-39,0.61800,803,450-353,0.56000,1:26,36,37.7,0.47900,160,334,0.84,3.3,7.8,1.57,3.7,0.57300,157,274,0.67,2.7,6.4,1.15,2.7,0.44200,0.43200,0.04300,0.05000,0.38300,0.53800,0.40400,7.3,3.2,39,59.1,29-14,0.67400,0.61100,0.61000,206,0.07000,127,0.04300,0.10900,0.60600,0.69900,0.47600,0.53500,0.71300,7.3,2.8
21,Serena Williams [USA],9,1.31,1134,0.55100,1,Jan-00,1.00000,0.05300,19,17-2,0.89500,179,112-67,0.62600,1:23,39.3,39.5,0.46800,36,77,0.89,4.1,8.6,1.89,4,0.61900,26,42,0.46,2.2,4.7,0.84,1.8,0.45500,0.44800,0.04800,0.05200,0.37300,0.58700,0.41400,6.7,3,61,52.7,1-Aug,0.88900,0.65200,0.64800,71,0.12900,35,0.06300,0.14500,0.56200,0.79000,0.47500,0.55600,0.82600,6,2.1
22,Magdalena Rybarikova [SVK],57,1.08,3742,0.51700,12,7-May,0.41700,0.09800,123,89-34,0.72400,331,186-145,0.56200,0:44,20.6,40.6,0.51700,107,207,1.24,1.7,3.6,0.87,1.9,0.56900,112,197,1.2,1.6,3.5,0.69,1.5,0.45100,0.44000,0.02300,0.03800,0.39700,0.54900,0.64100,11.2,5.1,105,127.9,44-13,0.77200,0.58300,0.57500,113,0.06000,58,0.03100,0.07300,0.57500,0.67300,0.46200,0.49800,0.48200,11.4,4.8
23,Barbora Zahlavova Strycova [CZE],66,1.06,9086,0.51300,11,3-Aug,0.72700,0.07200,152,92-60,0.60500,1263,676-587,0.53500,1:42,44.3,44.4,0.48000,280,583,0.92,3.8,8.8,1.84,4.2,0.56100,298,531,0.84,3.5,8,1.53,3.5,0.46000,0.44100,0.02000,0.05100,0.39900,0.55800,0.44200,7.3,3.4,43.5,62,42-24,0.63600,0.56700,0.57100,147,0.03300,142,0.03200,0.09200,0.65400,0.62300,0.46100,0.50700,0.63000,7.1,3.1
24,Darya Kasatkina [RUS],53,1.05,7492,0.51100,14,8-Jun,0.42900,0.11600,121,69-52,0.57000,932,501-431,0.53800,1:36,42.2,40.9,0.49600,244,492,1.05,4.1,9.3,2.02,4.6,0.54800,251,458,0.99,3.8,8.6,1.71,3.9,0.47100,0.46100,0.03200,0.04600,0.40700,0.58600,0.52100,8,3.8,38,50.8,32-21,0.60400,0.55000,0.56400,73,0.01900,150,0.04000,0.12500,0.68200,0.59000,0.46600,0.53300,0.55400,8.1,3.6
25,Daria Gavrilova [AUS],59,1.04,9086,0.50800,19,12-Jul,0.36800,0.13100,145,83-62,0.57200,1261,665-596,0.52700,1:53,45.8,43.9,0.47500,267,562,0.89,3.9,9.5,1.84,4.5,0.52900,261,493,0.78,3.4,8.4,1.6,3.9,0.44900,0.44100,0.03800,0.04500,0.39000,0.54600,0.42300,7.3,3.3,54,71.9,35-24,0.59300,0.56800,0.59100,153,0.03400,277,0.06200,0.16700,0.63200,0.63900,0.44600,0.53500,0.63200,7.1,3.1
26,Dominika Cibulkova [SVK],48,1.03,7508,0.50700,11,6-May,0.45500,0.09400,117,64-53,0.54700,940,491-449,0.52200,1:52,46.1,43.1,0.47300,215,455,0.97,3.9,9.5,1.84,4.5,0.57200,258,451,0.96,3.9,9.4,1.65,4,0.44800,0.44700,0.06900,0.05600,0.36700,0.57800,0.45600,7.8,3.5,42,54.7,26-22,0.54200,0.56500,0.58400,36,0.00900,145,0.03800,0.11300,0.66300,0.61200,0.47400,0.53500,0.58800,8.1,3.5
27,Shuai Peng [CHN],61,1.09,8103,0.52000,18,7-Nov,0.61100,0.13400,134,84-50,0.62700,1105,608-497,0.55000,1:34,43,42.7,0.48000,252,525,0.96,3.9,8.6,1.88,4.1,0.58300,281,482,0.87,3.6,7.9,1.5,3.3,0.46700,0.45400,0.03000,0.05000,0.39400,0.58400,0.46000,7.3,3.4,55,85.7,39-22,0.63900,0.57200,0.58000,98,0.02400,127,0.03100,0.08600,0.63900,0.62700,0.47400,0.51800,0.63900,7.4,3.1
28,Agnieszka Radwanska [POL],43,1.08,5786,0.51600,8,3-May,0.62500,0.08200,97,56-41,0.57700,651,355-296,0.54500,1:35,42.2,42.4,0.45300,173,382,1.18,3.9,8.9,1.78,4,0.54400,172,316,0.97,3.3,7.3,1.48,3.3,0.45800,0.44500,0.03100,0.04800,0.39000,0.56100,0.53200,9,4.1,43,59.4,25-18,0.58100,0.57500,0.57700,84,0.03000,68,0.02400,0.06300,0.62100,0.64900,0.45500,0.48500,0.55800,8.7,3.7
29,Petra Kvitova [CZE],28,1.14,3799,0.52300,11,6-May,0.45500,0.17500,63,41-22,0.65100,394,226-168,0.57400,1:29,39.6,39.4,0.45200,100,221,1.12,3.5,7.9,1.59,3.6,0.56200,91,162,0.82,2.6,5.8,1.13,2.5,0.42900,0.41400,0.03400,0.04900,0.37100,0.51800,0.50800,9.9,4.3,49.5,90.9,18-10,0.64300,0.62300,0.65200,156,0.08500,166,0.09000,0.21200,0.57500,0.74000,0.46400,0.58900,0.64000,9.3,3.5
30,Lucie Safarova [CZE],53,1.1,8060,0.51900,21,11-Oct,0.47600,0.16500,127,78-49,0.61400,1051,583-468,0.55500,1:41,42.1,39.8,0.45100,196,435,0.83,3.4,8.2,1.54,3.7,0.64000,244,381,0.73,3,7.2,1.08,2.6,0.42200,0.41200,0.04800,0.05200,0.34600,0.54800,0.37200,7.7,3.3,68.5,104.1,35-18,0.66000,0.61700,0.61800,323,0.08100,206,0.05200,0.13600,0.62000,0.70600,0.47300,0.54700,0.73900,7.6,2.9
31,Kiki Bertens [NED],58,1.09,7765,0.51800,12,8-Apr,0.33300,0.09400,127,71-56,0.55900,1069,581-488,0.54300,1:33,42.3,41.6,0.47000,227,483,0.9,3.8,8.3,1.79,3.9,0.54900,214,390,0.74,3.1,6.7,1.39,3,0.45200,0.43400,0.01400,0.04200,0.39500,0.55600,0.42100,7.2,3.3,70,95.4,32-26,0.55200,0.58400,0.59500,264,0.06800,249,0.06500,0.14700,0.56100,0.70700,0.42700,0.50100,0.66800,7.3,3
32,Mirjana Lucic [CRO],36,0.99,5537,0.50100,8,5-Mar,0.37500,0.09100,88,45-43,0.51100,717,360-357,0.50200,1:35,39.1,37.2,0.51600,147,285,0.81,3.2,7.9,1.67,4.1,0.54900,184,335,0.92,3.8,9.3,1.72,4.2,0.44200,0.42900,0.04400,0.05600,0.36600,0.56100,0.41600,7.5,3.3,61,74.2,20-16,0.55600,0.55500,0.58700,115,0.04000,237,0.08200,0.19200,0.57300,0.65400,0.42300,0.52300,0.58500,8,3.5
33,Ekaterina Makarova [RUS],50,1.01,6868,0.50200,12,6-Jun,0.50000,0.10300,117,64-53,0.54700,911,474-437,0.52000,1:32,39.3,40.2,0.46200,190,411,0.89,3.5,8.2,1.62,3.8,0.54500,200,367,0.81,3.1,7.3,1.43,3.3,0.42800,0.41700,0.04400,0.05100,0.35800,0.54300,0.41300,7.6,3.3,39,52.6,29-21,0.58000,0.57800,0.58500,150,0.04400,150,0.04400,0.13100,0.65900,0.64200,0.45300,0.52200,0.63000,7.5,3.2
34,Anett Kontaveit [EST],50,1.11,6475,0.51900,18,9-Sep,0.50000,0.15500,116,69-47,0.59500,839,459-380,0.54700,1:19,34,36.5,0.42500,168,395,0.94,3.4,7.9,1.45,3.4,0.54900,157,286,0.68,2.5,5.7,1.11,2.6,0.43700,0.42100,0.03500,0.05300,0.36200,0.55900,0.40100,7.9,3.5,66,78.9,31-19,0.62000,0.60600,0.62200,146,0.04600,170,0.05400,0.15100,0.64300,0.67900,0.47400,0.55800,0.69300,7.5,3
35,Elise Mertens [BEL],53,1.04,7398,0.50900,14,8-Jun,0.42900,0.11400,123,68-55,0.55300,1019,539-480,0.52900,1:36,41.3,41.2,0.48900,236,483,0.95,3.9,9.1,1.92,4.5,0.54000,243,450,0.88,3.7,8.5,1.68,3.9,0.46300,0.44500,0.02100,0.04900,0.40800,0.56300,0.46400,7.2,3.4,43.5,66.2,32-21,0.60400,0.55600,0.56800,153,0.04100,195,0.05300,0.13800,0.61800,0.63000,0.43500,0.50500,0.59400,7.3,3.2
36,Shuai Zhang [CHN],51,1.03,6797,0.50500,15,8-Jul,0.46700,0.12500,120,66-54,0.55000,842,437-405,0.51900,1:31,38.6,40.9,0.47400,186,392,0.93,3.3,7.7,1.55,3.6,0.52400,187,357,0.85,3,7,1.42,3.3,0.44100,0.42700,0.03800,0.05300,0.38000,0.54000,0.44200,8.1,3.6,61,91.9,28-23,0.54900,0.57000,0.57500,140,0.04200,128,0.03800,0.10400,0.63600,0.64300,0.44400,0.49500,0.59600,8,3.4
37,Sorana Cirstea [ROU],50,1.01,6987,0.50300,13,3-Oct,0.76900,0.11700,111,58-53,0.52300,882,443-439,0.50200,1:34,42.2,40.2,0.42500,180,424,0.97,3.8,8.5,1.62,3.6,0.53900,214,397,0.89,3.6,7.9,1.65,3.7,0.44400,0.42600,0.01700,0.04300,0.37800,0.55500,0.41300,8,3.6,50.5,69.2,27-23,0.54000,0.56200,0.57100,116,0.03300,139,0.04000,0.09500,0.58000,0.64100,0.45300,0.50000,0.59000,7.8,3.4
38,Alize Cornet [FRA],47,1,6683,0.50100,8,5-Mar,0.37500,0.07500,107,54-53,0.50500,825,415-410,0.50300,1:47,46.8,45,0.48000,194,404,0.99,3.8,8.6,1.81,4.1,0.54400,235,432,1.03,4,9.2,1.84,4.2,0.46300,0.44400,0.01800,0.04900,0.40500,0.55600,0.47700,8.2,3.8,39,52.7,24-23,0.51100,0.53800,0.56500,58,0.01700,206,0.06200,0.17100,0.64000,0.60500,0.41900,0.50600,0.52900,8,3.7
39,Timea Bacsinszky [SUI],28,1.13,4016,0.52500,7,3-Apr,0.57100,0.10900,64,41-23,0.64100,412,243-169,0.59000,1:46,46.2,44.1,0.47100,129,274,1.33,4.3,9.8,2.02,4.6,0.58000,127,219,1.06,3.4,7.8,1.44,3.3,0.47100,0.45400,0.01800,0.04600,0.40600,0.57800,0.62600,10.2,4.8,40.5,47.4,18-10,0.64300,0.58300,0.59000,50,0.02600,56,0.02900,0.08600,0.66000,0.62200,0.50800,0.55500,0.55300,9.3,3.9
40,Carla Suarez Navarro [ESP],49,1.06,6619,0.51200,10,8-Feb,0.20000,0.09100,110,59-51,0.53600,780,423-357,0.54200,1:32,41,40.9,0.48500,209,431,1.09,3.9,8.8,1.9,4.3,0.56000,219,391,1.01,3.6,8,1.56,3.5,0.46500,0.45100,0.02700,0.04700,0.40300,0.57100,0.53000,8.6,4,47,61.4,26-23,0.53100,0.56000,0.56500,49,0.01500,62,0.01900,0.06200,0.69100,0.60200,0.46700,0.49800,0.55400,8.4,3.7
41,Samantha Stosur [AUS],41,1.06,6073,0.51300,6,Jun-00,1.00000,0.06100,99,55-44,0.55600,854,444-410,0.52000,1:42,42.1,41.2,0.44900,149,332,0.78,3.4,8.1,1.51,3.6,0.58500,189,323,0.75,3.3,7.9,1.35,3.3,0.42800,0.40900,0.03700,0.05800,0.35500,0.55400,0.35100,7.1,3.1,50,67.4,22-19,0.53700,0.59800,0.60100,161,0.05300,124,0.04100,0.10800,0.62100,0.66600,0.48500,0.54400,0.68800,7.1,2.8
42,Catherine Cartan Bellis [USA],32,0.98,4712,0.49700,7,3-Apr,0.57100,0.09100,77,40-37,0.51900,591,291-300,0.49200,1:36,39.9,39.1,0.47200,120,254,0.86,3.3,7.9,1.56,3.8,0.58700,175,298,1.01,3.9,9.3,1.6,3.8,0.42600,0.42200,0.05700,0.04900,0.33900,0.56400,0.40400,7.8,3.3,39,66.8,17-15,0.53100,0.56500,0.58500,43,0.01800,113,0.04700,0.11600,0.59600,0.64300,0.45000,0.50900,0.58200,8.2,3.6
43,Lesia Tsurenko [UKR],47,0.99,6479,0.49900,13,6-Jul,0.53800,0.12500,104,50-54,0.48100,813,405-408,0.49800,1:36,43.4,41.8,0.46200,176,381,0.93,3.7,8.1,1.69,3.7,0.55000,213,387,0.96,3.7,8.2,1.67,3.7,0.44800,0.43800,0.03500,0.04400,0.38000,0.55300,0.42900,7.8,3.5,49,71.1,22-25,0.46800,0.55000,0.57300,74,0.02300,184,0.05600,0.16500,0.66100,0.60200,0.44800,0.53700,0.56800,8.1,3.7
44,Irina Camelia Begu [ROU],49,1,6495,0.49900,9,5-Apr,0.44400,0.07700,117,56-61,0.47900,895,444-451,0.49600,1:37,40.5,43.8,0.47700,177,371,0.82,3.2,7.6,1.51,3.6,0.55900,222,397,0.9,3.4,8.1,1.5,3.6,0.43900,0.41700,0.02400,0.05500,0.38600,0.52500,0.39100,7.2,3.1,72,95.1,24-25,0.49000,0.55900,0.58400,97,0.03000,211,0.06500,0.17400,0.62600,0.62000,0.45600,0.55100,0.60400,7.4,3.2
45,Ana Konjuh [CRO],40,1.02,5855,0.50300,13,5-Aug,0.61500,0.14000,93,50-43,0.53800,697,354-343,0.50800,1:34,40.6,38.7,0.44300,144,325,0.93,3.5,8.1,1.55,3.6,0.54000,161,298,0.86,3.2,7.5,1.47,3.4,0.43000,0.41800,0.04100,0.05000,0.35100,0.55500,0.41100,8.5,3.6,53,58.9,22-18,0.55000,0.57700,0.59600,145,0.05000,187,0.06500,0.15300,0.57700,0.67300,0.44700,0.52800,0.60500,8.3,3.5
46,Qiang Wang [CHN],48,1.1,6866,0.51900,11,4-Jul,0.63600,0.09800,112,67-45,0.59800,933,502-431,0.53800,1:32,39.6,38.7,0.46500,212,456,0.97,4.1,9.5,1.89,4.4,0.55400,215,388,0.84,3.5,8.1,1.54,3.6,0.46100,0.43100,0.01600,0.06400,0.40700,0.55300,0.45100,7.6,3.5,65.5,75.1,29-19,0.60400,0.58100,0.57900,130,0.03900,85,0.02600,0.07000,0.63300,0.63300,0.49000,0.52700,0.62600,7.2,3
47,Tatjana Maria [GER],57,0.98,3628,0.49900,5,1-Apr,0.80000,0.04100,122,72-50,0.59000,465,232-233,0.49900,0:44,20.4,41.1,0.46900,92,196,0.86,1.6,3.4,0.75,1.6,0.55700,122,219,0.92,1.8,3.8,0.8,1.7,0.42000,0.40200,0.02400,0.04600,0.36500,0.50900,0.40400,7.6,3.2,124,135.8,34-23,0.59600,0.57000,0.56800,101,0.05300,69,0.03600,0.08000,0.54800,0.67400,0.44500,0.48400,0.59100,8,3.4
48,Mona Barthel [GER],35,0.98,4957,0.49500,8,2-Jun,0.75000,0.09500,84,42-42,0.50000,698,333-365,0.47700,1:27,36.3,36.9,0.43100,118,274,0.79,3.3,7.8,1.4,3.4,0.54400,161,296,0.85,3.5,8.5,1.61,3.9,0.42500,0.40700,0.02600,0.04900,0.34400,0.55200,0.33900,7.1,3,57,73.3,17-18,0.48600,0.56400,0.58200,140,0.05600,175,0.07100,0.18200,0.61100,0.65700,0.41900,0.51200,0.61400,7.1,3.1
49,Katerina Siniakova [CZE],48,0.98,7066,0.49500,6,2-Apr,0.66700,0.05100,117,58-59,0.49600,1008,496-512,0.49200,1:41,41.6,41.4,0.45800,189,413,0.82,3.5,8.6,1.62,3.9,0.54300,238,438,0.86,3.7,9.1,1.71,4.2,0.43800,0.41900,0.03100,0.05500,0.36400,0.55400,0.37700,7,3.1,48,64.8,24-24,0.50000,0.55200,0.56800,108,0.03000,185,0.05200,0.14000,0.62600,0.62500,0.42900,0.49900,0.60600,7,3.1
50,Lauren Davis [USA],43,0.99,6075,0.49800,7,3-Apr,0.57100,0.07000,100,47-53,0.47000,838,412-426,0.49200,1:40,43.2,42.6,0.53100,200,377,0.89,3.8,8.8,2,4.7,0.52800,228,432,1.04,4.3,10,2.04,4.7,0.47200,0.45600,0.02700,0.05200,0.40900,0.57300,0.47400,7,3.3,50,58,20-23,0.46500,0.52200,0.55700,59,0.01900,244,0.07800,0.20000,0.60900,0.59200,0.41200,0.51500,0.51000,7.5,3.6
,Average,,1.07,,0.51400,,,0.53300,0.10300,,,0.59300,,,0.54000,1:34,40.7,41,0.46600,,,0.97,3.6,8.4,1.69,3.9,0.56400,,,0.85,3.2,7.4,1.4,3.2,0.44800,0.43500,0.03500,0.05000,0.38100,0.56000,0.45100,8,3.6,49,69.7,,0.62100,0.58100,0.59200,,0.04400,,0.04900,0.12900,0.62200,0.65300,0.46200,0.53000,0.62900,7.9,3.3
